['2018-10-28 23:48:50+00:00'],['#ريال_مدريد مدريد نادي تاريخه كبير لكن هل التاريخ في التشكيله متواجد؟؟ ماشفنا الا 11 متخاذل تفكيرهم خارج الملعب مقولة مدريد اكبر من اي لاعب غير منطقيه لولا لاعبيه ماصار نادي كبير!!'],['mohammaad0111']
['2018-10-28 23:48:37+00:00'],['اهداء لكل مدريدي عاشق #برشلونه_ريال_مدريد pic.twitter.com/gY0Vbvb7MH'],['Itt7adii']
['2018-10-28 23:48:20+00:00'],['لاوالله لا نستطيع بدأنا ندافع ثم هاجمنا وسنستمر ( القوه القوه لابارك الله بالضعف ) ولدينا كذلك نهضة بلد وبناء لا يمكن ان يتوقف امامنا 5 سنوات فقط لنصدق كلمات سيدي العضيد ونغير وجه #السعودية_العظمى لذلك اجازتنا بعد 5 سنوات من الان #برشلونه_ريال_مدريد #اغلاق_قناه_الفتنه_الجزيره_12'],['GreatSaudiArabi']
['2018-10-28 23:48:01+00:00'],['أخبار نادي برشلونة: هل يستحق لوبيتيجي الإقالة من ريال مدريد؟ فالفيردي يُجيب المزيد من التفاصيل: http://90kora.com/news/721272'],['buzzkoranews']
['2018-10-28 23:47:45+00:00'],['يا ولد بينيتز جاب دوري الابطال مع ليفربول..ريال مدريد ما عطوه فرصة'],['nashi34_']
['2018-10-28 23:47:38+00:00'],['و قعد يقولك ريمونتادا و بتاع يا عم هم عارفين يمسكوا نفسهم علشان يعملوا ريمونتادا #الكلاسيكو #ElClásico #ForçaBarça #برشلونة_ريال_مدريد'],['hobaaa_magdy']
['2018-10-28 23:47:38+00:00'],['هههههه سعر الدولار اليوم ريال مدريد و 25 قرش.. باهي الي ميسي مالعب راها ارقي'],['JWGMWphuT2qD5Dl']
['2018-10-28 23:47:36+00:00'],['مالوش ذنب يا كابتن عمر والله، برغم ان ريال مدريد فيه مذنبين كتير فشخ إلا إن ده لا يمنع ان في ضحايا، أياً كان مبروك الفوز لأنه كان فعلاً مستحق'],['Ma7moudAshour95']
['2018-10-28 23:47:35+00:00'],['اه شمتانيين عشان ريال مدريد أتغلب'],['Ahmednopian']
['2018-10-28 23:47:29+00:00'],['اه ليتها فالدرة كنا بنشوف مباراه أقوى من ريال مدريد والبرشا'],['f9u9_']
['2018-10-28 23:47:22+00:00'],['#برشلونه_ريال_مدريد . فيه بنت هينا بتاق تلعب فيفا ؟ تكلمني يلا حبيباتي ون قيم .'],['ms_juj']
['2018-10-28 23:47:07+00:00'],['#برشلونه_ريال_مدريد كاسيميرو :المدرب أمرني بإيقاف ميسي وهذا ماجعلني قريب جدا من المدرجات في هذه المباراة ولكن فجأة ظهر ذاك الثور سواريز وفعل أشياء جميلة براموس pic.twitter.com/6xgcrggLH4'],['Hassan_oS9']
['2018-10-28 23:46:53+00:00'],['الاس شوهد لوبيتيغي وحيدا عند وصوله إلى مطار مدريد، ووجوه لاعبي ريال مدريد عليها علامات الحزن والألم القاسي. pic.twitter.com/GsXZG8HrgV'],['zrhoni_mohamed']
['2018-10-28 23:46:35+00:00'],|['وقائـع المؤتمـر الصحفـي لبرشلونـة قبـل مواجهـة ريـال مدريد فـي كلاسيكو الارض || برشلونة و ريال مدريد https://barcelonabelarabi.info/%d9%88%d9%82%d8%a7%d8%a6%d9%80%d8%b9-%d8%a7%d9%84%d9%85%d8%a4%d8%aa%d9%85%d9%80%d8%b1-%d8%a7%d9%84%d8%b5%d8%ad%d9%81%d9%80%d9%8a-%d9%84%d8%a8%d8%b1%d8%b4%d9%84%d9%88%d9%86%d9%80%d8%a9-%d9%82%d8%a8-2/ …pic.twitter.com/5BjTKDQi7N']|,['asdaalwatan']
['2018-10-28 23:46:17+00:00'],['مورينهو ليس خيار ريال مدريد إطلاقاً ، مورينهو بنفسه يعلم ذلك. pic.twitter.com/oyauY7dkVo'],['3BooD_9666']
['2018-10-28 23:46:00+00:00'],['ملخص خماسية برشلونة ضد ريال مدريد 5-1 هاتــريك سواريز جنون عصام الشوالي【شاشة كاملة HD】 https://barcelonabelarabi.info/%d9%85%d9%84%d8%ae%d8%b5-%d8%ae%d9%85%d8%a7%d8%b3%d9%8a%d8%a9-%d8%a8%d8%b1%d8%b4%d9%84%d9%88%d9%86%d8%a9-%d8%b6%d8%af-%d8%b1%d9%8a%d8%a7%d9%84-%d9%85%d8%af%d8%b1%d9%8a%d8%af-5-1-%d9%87%d8%a7%d8%aa/ …pic.twitter.com/knIrInTBFB'],['asdaalwatan']
['2018-10-28 23:45:58+00:00'],['الاربعاء 31/10 مليلية vs ريال مدريد السبت 3/11 ريال مدريد vs بلد الوليد الاربعاء 7/11 فيكتوريا بلزن vs ريال مدريد الاحد 11/11 سيلتا فيغو vs ريال مدريد توقف الدوريات'],['mouhcine_tabti']
['2018-10-28 23:45:52+00:00'],['كيف سيذكر التاريخ فوز برشلونة الكاسح على ريال مدريد ؟ https://ift.tt/2Sqb9uv pic.twitter.com/JEStkpjNhN'],['yassinecool2']
['2018-10-28 23:45:50+00:00'],['ناقد رياضي: #ريال_مدريد لن يعقد صفقات كبرى خلال الفترة القادمة التفاصيل .. https://goo.gl/PpPqHA @baladtv @HHathout #الماتش #صدى_البلد #أمير_عبد_الحميد_في_الماتش'],['baladtv']
['2018-10-28 23:45:47+00:00'],['للنوم بعد متعة اليوم من الكتلان #برشلونه_ريال_مدريد'],['i6_9l']
['2018-10-28 23:45:36+00:00'],['ناقد رياضي: ريال مدريد لن يعقد صفقات كبرى خلال الفترة القادمة https://goo.gl/PpPqHA #الماتش @HHathout @baladtv'],['baladtv']
['2018-10-28 23:45:28+00:00'],['الان جماهير برشلونة راح تستلم جماهير ريال مدريد طقطقة لـ فترة الله أعلم كم تبقى من بعد 4 - 0 بدون ميسي الان صارت 5 - 1 بدون ميسي الله يعينكم #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:27+00:00'],['بس و الله حتى بعد غياب ميسي و كريستيانو رونالدو عن الكلاسيكو ما زال في حماس و كان كلاسيكو رائع #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:27+00:00'],['أداء رائع و مذهل لـ برشلونة حتى مع غياب ميسي لازم يعملوا الكثير لـ ريال مدريد حتى يعودوا كما كانوا قبل رحيل المدرب زيدان و رحيل كريستيانو رونالدو لانه من بعد رحيلهم و هوية الفريق ضائعة #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:25+00:00'],['نهاية المباراة : برشلونة 5 - 1 ريال مدريد مبروووووك لـ برشلونة و عشاق برشلونة الفوز في المباراة و هاردلك لـ ريال مدريد #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرضpic.twitter.com/VdB0abMsMo'],['mahra6791']
['2018-10-28 23:45:21+00:00'],['الكينغ و المحارب ارتورو فيدال يسجل أول هدف له مع برشلونة في الكلاسيكو و هو لسى ما كمل 3 دقائق على دخوله كـ بديل يستاهل لاعبنا و ولدنا السابق #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
