Date	Tweet	Username
['2018-10-28 23:11:57+00:00	سبورت الي الشارع! سواريز يلقي ب لوبيتيغي الي الشارع خارج اسوار نادي ريال مدريد، بعد ان سجل هاتريك في كلاسيكو الخماسيه.	['barca_news_arab']
['2018-10-28 23:11:57+00:00	ريال مدريد دخل القنصليه السعوديه #برشلونه_ريال_مدريد	['aljzar1979']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد ملخص الكلاسيكو 	['Bin_Khaled_20']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد غياب رونالدو مءثر 	['ows33']
['2018-10-28 23:11:57+00:00	فعلا سبنا ايه للعوده بتاع الكلاسيكو 	['kerolos_luka96']
['2018-10-28 23:11:57+00:00	يا جماعه ماتش الكلاسيكو ده يعلمنا ان العشم مهما وصل بيك ميخلكاش تتعشم في حد زي بنزيما وجاريث بيل اللي هو عشم نتيجته ممكن تنتهي بسكته قلبيه دايركت .	['mo7amedkandeel']
['2018-10-28 23:11:57+00:00	صوتي تعب من كتر الزعيق في الكلاسيكو	['theanalaa']
['2018-10-28 23:11:57+00:00	#ريال_مدريد مدريد نادي تاريخه كبير لكن هل التاريخ في التشكيله متواجد؟؟ ماشفنا الا 11 متخاذل تفكيرهم خارج الملعب مقوله مدريد اكبر من اي لاعب غير منطقيه لولا لاعبيه ماصار نادي كبير!!	['mohammaad0111']
['2018-10-28 23:11:57+00:00	الكلاسيكو برشلونه و ريال مدريد I احصاءيات و ارقام رهيبه في مباريات الكلاسيكو:	['anlm111']
['2018-10-28 23:11:57+00:00	اخر ١٥ سنه بتاريخ الكلاسيكو لاعبين سجلوا هاترك و هم ميسي و سواريز .. 	['GZIAxx']
['2018-10-28 23:11:57+00:00	مبابي مر من هنا .. انتهي الكلاسيكو ! 	['Sajen21']
['2018-10-28 23:11:57+00:00	حضرتك قصدك علي ماتش الكلاسيكو ؟	['diasty91']
['2018-10-28 23:11:57+00:00	افتح ييني كتاب التاريخ واكتب عندك .. انه في يوم الاحد الموافق ٢٨اكتوبر ٢٠١٨ ، اضاف برشلونه الخماسيه السادسه في الكلاسيكو بدون سيد اللاعبين وبوجود الدفاع الحصاله في اول المشوار ومع تالق لافت للبيستوليرو وباقي الرفاق ويغلق كتاب التاريخ لحين تدوين فضيحه اخري والله المستعان	['Muuller_23']
['2018-10-28 23:11:57+00:00	- كيف نجوت من كل هذا الخراب الذي حدث ؟ = كنت اشاهده من المنزل مثلك !! #برشلونه_ريال_مدريد	['_AhmedRaouf']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد 	['azooz_808']
['2018-10-28 23:11:57+00:00	الطيب الكلاسيكو حقنااا ماجبت طاااريه	['MOHANADALGAMDi']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد والله حزينه واااجد اوجد شيء	['Dr_NR7']
['2018-10-28 23:11:57+00:00	هي برشلونه فاز 5 دون ميسي ودون جدتك	['MJS1420']
['2018-10-28 23:11:57+00:00	هههه خطرت عليا مباراه السعوديه وروسيا في كاس العالم بس اثبتت برشلونه انها فريق متكامل حتي في غياب احد اركانها ميسي #برشلونه_ريال_مدريد	['Hadeelly2']
